latency_ns,cdf
2.04e+06,0.0766602
2.04e+06,0.0771484
2.04e+06,0.0776367
2.04e+06,0.078125
2.04e+06,0.0786133
2.04e+06,0.0791016
2.04e+06,0.0795898
2.04e+06,0.0800781
2.04e+06,0.0805664
2.04e+06,0.0810547
2.04e+06,0.081543
2.04e+06,0.0820312
2.04e+06,0.0825195
2.04e+06,0.0830078
2.04e+06,0.0834961
2.04e+06,0.0839844
2.04e+06,0.0844727
2.04e+06,0.0849609
2.04e+06,0.0854492
2.04e+06,0.0859375
2.04e+06,0.0864258
2.04e+06,0.0869141
2.04e+06,0.0874023
2.04e+06,0.0878906
2.04e+06,0.0883789
2.04e+06,0.0888672
2.04e+06,0.0893555
2.04e+06,0.0898438
2.04e+06,0.090332
2.04e+06,0.0908203
2.04e+06,0.0913086
2.04e+06,0.0917969
2.04e+06,0.0922852
2.04e+06,0.0927734
2.04e+06,0.0932617
2.04e+06,0.09375
2.04e+06,0.0942383
2.04e+06,0.0947266
2.04e+06,0.0952148
2.04e+06,0.0957031
2.04e+06,0.0961914
2.04e+06,0.0966797
2.04e+06,0.097168
2.04e+06,0.0976562
2.04e+06,0.0981445
2.04e+06,0.0986328
2.04e+06,0.0991211
2.04e+06,0.0996094
2.04e+06,0.100098
2.04e+06,0.100586
2.04e+06,0.101074
2.04e+06,0.101562
2.04e+06,0.102051
2.04e+06,0.102539
2.04e+06,0.103027
2.04e+06,0.103516
2.04e+06,0.104004
2.04e+06,0.104492
2.04e+06,0.10498
2.04e+06,0.105469
2.04e+06,0.105957
2.04e+06,0.106445
2.04e+06,0.106934
2.04e+06,0.107422
2.04e+06,0.10791
2.04e+06,0.108398
2.04e+06,0.108887
2.04e+06,0.109375
2.04e+06,0.109863
2.04e+06,0.110352
2.04e+06,0.11084
2.04e+06,0.111328
2.04e+06,0.111816
2.04e+06,0.112305
2.04e+06,0.112793
2.04e+06,0.113281
2.04e+06,0.11377
2.04e+06,0.114258
2.04e+06,0.114746
2.04e+06,0.115234
2.04e+06,0.115723
2.04e+06,0.116211
2.04e+06,0.116699
2.04e+06,0.117188
2.04e+06,0.117676
2.04e+06,0.118164
2.04e+06,0.118652
2.04e+06,0.119141
2.04e+06,0.119629
2.04e+06,0.120117
2.04e+06,0.120605
2.04e+06,0.121094
2.04e+06,0.121582
2.04e+06,0.12207
2.04e+06,0.122559
2.04e+06,0.123047
2.04e+06,0.123535
2.04e+06,0.124023
2.04e+06,0.124512
2.04e+06,0.125
2.04e+06,0.125488
2.04e+06,0.125977
2.04e+06,0.126465
2.04e+06,0.126953
2.04e+06,0.127441
2.04e+06,0.12793
2.04e+06,0.128418
2.04e+06,0.128906
2.04e+06,0.129395
2.04e+06,0.129883
2.04e+06,0.130371
2.04e+06,0.130859
2.04e+06,0.131348
2.04e+06,0.131836
2.04e+06,0.132324
2.04e+06,0.132812
2.04e+06,0.133301
2.04e+06,0.133789
2.04e+06,0.134277
2.04e+06,0.134766
2.04e+06,0.135254
2.04e+06,0.135742
2.04e+06,0.13623
2.04e+06,0.136719
2.04e+06,0.137207
2.04e+06,0.137695
2.04e+06,0.138184
2.04e+06,0.138672
2.04e+06,0.13916
2.04e+06,0.139648
2.04e+06,0.140137
2.04e+06,0.140625
2.04e+06,0.141113
2.04e+06,0.141602
2.04e+06,0.14209
2.04e+06,0.142578
2.04e+06,0.143066
2.04e+06,0.143555
2.04e+06,0.144043
2.04e+06,0.144531
2.04e+06,0.14502
2.04e+06,0.145508
2.04e+06,0.145996
2.04e+06,0.146484
2.04e+06,0.146973
2.04e+06,0.147461
2.04e+06,0.147949
2.04e+06,0.148438
2.04e+06,0.148926
2.04e+06,0.149414
2.04e+06,0.149902
2.04e+06,0.150391
2.04e+06,0.150879
2.04e+06,0.151367
2.04e+06,0.151855
2.04e+06,0.152344
2.04e+06,0.152832
2.04e+06,0.15332
2.04e+06,0.153809
2.04e+06,0.154297
2.04e+06,0.154785
2.04e+06,0.155273
2.04e+06,0.155762
2.04e+06,0.15625
2.04e+06,0.156738
2.04e+06,0.157227
2.04e+06,0.157715
2.04e+06,0.158203
2.04e+06,0.158691
2.04e+06,0.15918
2.04e+06,0.159668
2.04e+06,0.160156
2.04e+06,0.160645
2.04e+06,0.161133
2.04e+06,0.161621
2.04e+06,0.162109
2.04e+06,0.162598
2.04e+06,0.163086
2.04e+06,0.163574
2.04e+06,0.164062
2.04e+06,0.164551
2.04e+06,0.165039
2.04e+06,0.165527
2.04e+06,0.166016
2.04e+06,0.166504
2.04e+06,0.166992
2.04e+06,0.16748
2.04e+06,0.167969
2.04e+06,0.168457
2.04e+06,0.168945
2.04e+06,0.169434
2.04e+06,0.169922
2.04e+06,0.17041
2.04e+06,0.170898
2.04e+06,0.171387
2.04e+06,0.171875
2.04e+06,0.172363
2.04e+06,0.172852
2.04e+06,0.17334
2.04e+06,0.173828
